Group	Protein
OG_0000001	tr|Q4WEL9|Q4WEL9_ASPFU
OG_0000001	sp|P46151|MTHR1_YEAST
OG_0000001	tr|Q6CEM7|Q6CEM7_YARLI
OG_0000001	sp|O74927|MTHR2_SCHPO
OG_0000001	tr|A7E9M9|A7E9M9_SCLS1
OG_0000002	sp|O59811|REI1_SCHPO
OG_0000002	tr|Q4WHR8|Q4WHR8_ASPFU
OG_0000002	tr|A7F7C9|A7F7C9_SCLS1
OG_0000002	sp|P38344|REI1_YEAST
OG_0000003	tr|Q4WJL0|Q4WJL0_ASPFU
OG_0000003	tr|A7EP70|A7EP70_SCLS1
OG_0000003	sp|Q9UT08|2AAA_SCHPO
OG_0000003	tr|Q6C3C5|Q6C3C5_YARLI
OG_0000003	sp|P31383|2AAA_YEAST
OG_0000004	tr|A7ENS3|A7ENS3_SCLS1
OG_0000004	tr|Q4WJM2|Q4WJM2_ASPFU
OG_0000004	tr|Q6CCM9|Q6CCM9_YARLI
OG_0000005	tr|Q6C416|Q6C416_YARLI
OG_0000005	tr|A7EGM5|A7EGM5_SCLS1
OG_0000005	sp|P48445|BPL1_YEAST
OG_0000005	sp|O14353|BPL1_SCHPO
OG_0000005	tr|Q4X1L4|Q4X1L4_ASPFU
OG_0000006	tr|Q4WN34|Q4WN34_ASPFU
OG_0000006	sp|Q10334|ALAT_SCHPO
OG_0000006	tr|Q6CA32|Q6CA32_YARLI
OG_0000006	sp|P52892|ALAT_YEAST
OG_0000006	tr|A7EA70|A7EA70_SCLS1
OG_0000007	sp|Q06567|MCP2_YEAST
OG_0000007	tr|Q6CG16|Q6CG16_YARLI
OG_0000007	sp|O60111|MCP2L_SCHPO
OG_0000007	tr|A7EZ13|A7EZ13_SCLS1
OG_0000007	tr|Q4WNS2|Q4WNS2_ASPFU
OG_0000008	sp|Q10325|MST2_SCHPO
OG_0000008	tr|Q6CHX2|Q6CHX2_YARLI
OG_0000008	tr|A7E4U0|A7E4U0_SCLS1
OG_0000008	tr|Q4WPY5|Q4WPY5_ASPFU
OG_0000009	sp|P32844|SEC6_YEAST
OG_0000009	tr|Q4WPU5|Q4WPU5_ASPFU
OG_0000009	tr|Q6C9T6|Q6C9T6_YARLI
OG_0000009	tr|A7F9Q6|A7F9Q6_SCLS1
OG_0000010	tr|A7EZX8|A7EZX8_SCLS1
OG_0000010	sp|P32191|GPDM_YEAST
OG_0000010	tr|Q4WTM2|Q4WTM2_ASPFU
OG_0000010	sp|O14400|GPDM_SCHPO
OG_0000010	tr|Q6CEQ0|Q6CEQ0_YARLI
OG_0000011	tr|Q6CCF9|Q6CCF9_YARLI
